"pop_avg_misseg_rate","pop_avg_death_rate","beta","mu","B(i,beta)","D(i,mu)","maxchrom"
0.0000182894984053981,0.999992351131756,0.00001,0.999992351131756," B(i)==beta"," D(i)==mu"," 4"
0.0000365787225400803,0.99998498820441,0.00002,0.99998498820441," B(i)==beta"," D(i)==mu"," 4"
0.0000411509857197893,0.999983496507987,0.0000225,0.999983496507987," B(i)==beta"," D(i)==mu"," 4"
0.000182882642743312,0.999925328405077,0.0001,0.999925328405077," B(i)==beta"," D(i)==mu"," 4"
0.00182759337851706,0.99925568331278,0.001,0.99925568331278," B(i)==beta"," D(i)==mu"," 4"
0.00365245125489161,0.998511498997136,0.002,0.998511498997136," B(i)==beta"," D(i)==mu"," 4"
0.00729398948634728,0.99701966390729,0.004,0.99701966390729," B(i)==beta"," D(i)==mu"," 4"
0.0145445572068691,0.994026475225659,0.008,0.994026475225659," B(i)==beta"," D(i)==mu"," 4"
0.0181537007593557,0.992524037249274,0.01,0.992524037249273," B(i)==beta"," D(i)==mu"," 4"
0.0360402577888038,0.984962734218327,0.02,0.984962734218327," B(i)==beta"," D(i)==mu"," 4"
0.0536665599246574,0.977316072788277,0.03,0.977316072788277," B(i)==beta"," D(i)==mu"," 4"
0.0710392386010158,0.969582452879275,0.04,0.969582452879275," B(i)==beta"," D(i)==mu"," 4"
0.0881646787624199,0.961762664910788,0.05,0.961762664910788," B(i)==beta"," D(i)==mu"," 4"
0.105049029166867,0.953856510397597,0.06,0.953856510397597," B(i)==beta"," D(i)==mu"," 4"
0.121698212115266,0.945862460979559,0.07,0.945862460979559," B(i)==beta"," D(i)==mu"," 4"
0.138117932640817,0.937782457592112,0.08,0.937782457592112," B(i)==beta"," D(i)==mu"," 4"
0.154313687189437,0.929613768052923,0.09,0.929613768052923," B(i)==beta"," D(i)==mu"," 4"
0.170290771820108,0.921358425183307,0.1,0.921358425183307," B(i)==beta"," D(i)==mu"," 4"
0.186054289952036,0.913013960450507,0.11,0.913013960450507," B(i)==beta"," D(i)==mu"," 4"
